time="2025-12-22T09:22:03+08:00" level=warning msg="C:\\Users\\it03.GD\\Desktop\\TEST\\docker-compose.yml: `version` is obsolete"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:16:36 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:17:06 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:17:36 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:18:06 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:18:27 +0800] "GET / HTTP/1.1" 200 49132 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:18:27 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:18:27 +0800] "GET /favicon.ico HTTP/1.1" 404 232 "http://10.168.93.93:5020/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:18:28 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:18:30 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:18:31 +0800] "GET /chat/admin HTTP/1.1" 200 36750 "http://10.168.93.93:5020/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
